record_id,employee_id,loan_volumes,transaction_accuracy,workplan_completion,error_frequencies,feedback_text,truthfulness_weight,reliability_target,recorded_at
62,6,85,96.24,91.26,3,Demonstrates exemplary regulatory compliance.,0.98,1,2025-02-01 00:00:00
63,6,100,87.48,91.66,2,Strictly adheres to KYC protocols.,0.99,1,2025-03-01 00:00:00
64,6,101,89.36,93.61,4,Demonstrates exemplary regulatory compliance.,0.9,1,2025-04-01 00:00:00
65,6,101,88.54,86.6,3,Strictly adheres to KYC protocols.,0.88,1,2025-05-01 00:00:00
66,6,97,84.63,93.86,5,Strictly adheres to KYC protocols.,0.92,1,2025-06-01 00:00:00
67,6,60,90.9,92.58,2,Zero compliance audit findings.,0.91,1,2025-07-01 00:00:00
68,6,92,94.5,89.2,3,Demonstrates exemplary regulatory compliance.,0.98,1,2025-08-01 00:00:00
69,6,89,92.42,85.31,3,Strictly adheres to KYC protocols.,1.0,1,2025-09-01 00:00:00
70,6,103,80.51,82.96,2,Demonstrates exemplary regulatory compliance.,0.91,1,2025-10-01 00:00:00
71,6,93,89.65,76.42,1,Zero compliance audit findings.,0.86,1,2025-11-01 00:00:00
72,6,105,92.3,76.1,1,Zero compliance audit findings.,0.92,1,2025-12-01 00:00:00
73,7,43,70.29,62.41,2,Frequent audit exceptions flagged.,0.87,0,2025-01-01 00:00:00
74,7,55,67.61,87.65,3,Frequent audit exceptions flagged.,0.88,0,2025-02-01 00:00:00
75,7,24,75.21,65.79,5,Minor KYC compliance oversight noted.,0.99,0,2025-03-01 00:00:00
76,7,50,85.57,84.45,2,Minor KYC compliance oversight noted.,0.93,0,2025-04-01 00:00:00
77,7,39,76.2,77.69,4,Fails to verify documentation thoroughly.,0.9,0,2025-05-01 00:00:00
78,7,33,66.04,61.53,6,Frequent audit exceptions flagged.,0.99,0,2025-06-01 00:00:00
79,7,73,92.62,78.15,4,Frequent audit exceptions flagged.,0.98,0,2025-07-01 00:00:00
80,7,66,89.37,54.01,2,Fails to verify documentation thoroughly.,0.99,0,2025-08-01 00:00:00
81,7,10,73.33,63.87,3,Fails to verify documentation thoroughly.,0.9,0,2025-09-01 00:00:00
82,7,53,80.79,71.9,7,Frequent audit exceptions flagged.,0.88,2,2025-10-01 00:00:00
83,7,60,82.53,60.38,4,Frequent audit exceptions flagged.,0.95,0,2025-11-01 00:00:00
84,7,21,69.67,74.39,3,Frequent audit exceptions flagged.,0.9,0,2025-12-01 00:00:00
85,8,106,85.29,88.32,4,Demonstrates exemplary regulatory compliance.,0.86,0,2025-01-01 00:00:00
86,8,82,87.09,85.6,2,Demonstrates exemplary regulatory compliance.,0.89,1,2025-02-01 00:00:00
87,8,88,90.2,94.06,3,Strictly adheres to KYC protocols.,0.91,1,2025-03-01 00:00:00
88,8,115,86.56,86.8,3,Demonstrates exemplary regulatory compliance.,0.93,2,2025-04-01 00:00:00
89,8,95,86.87,92.11,2,Demonstrates exemplary regulatory compliance.,0.92,1,2025-05-01 00:00:00
90,8,90,95.54,85.29,4,Demonstrates exemplary regulatory compliance.,0.92,1,2025-06-01 00:00:00
91,8,105,88.74,86.98,1,Demonstrates exemplary regulatory compliance.,0.91,1,2025-07-01 00:00:00
92,8,96,93.61,89.76,2,Zero compliance audit findings.,0.94,1,2025-08-01 00:00:00
93,8,125,91.74,77.01,0,Zero compliance audit findings.,0.9,1,2025-09-01 00:00:00
94,8,111,89.81,80.57,2,Zero compliance audit findings.,0.87,1,2025-10-01 00:00:00
95,8,114,86.79,76.15,2,Zero compliance audit findings.,0.87,1,2025-11-01 00:00:00
96,8,115,92.38,92.7,2,Strictly adheres to KYC protocols.,0.89,1,2025-12-01 00:00:00
97,9,57,77.19,76.36,6,Minor KYC compliance oversight noted.,0.86,0,2025-01-01 00:00:00
98,9,59,81.08,72.81,8,Fails to verify documentation thoroughly.,0.91,0,2025-02-01 00:00:00
99,9,72,93.77,73.24,3,Minor KYC compliance oversight noted.,0.99,0,2025-03-01 00:00:00
100,9,67,59.75,65.7,5,Frequent audit exceptions flagged.,0.96,0,2025-04-01 00:00:00
101,9,34,75.95,54.81,5,Fails to verify documentation thoroughly.,0.92,0,2025-05-01 00:00:00
102,9,51,79.62,60.01,5,Fails to verify documentation thoroughly.,0.86,0,2025-06-01 00:00:00
103,9,40,75.2,69.55,2,Fails to verify documentation thoroughly.,1.0,0,2025-07-01 00:00:00
104,9,85,76.75,65.45,5,Minor KYC compliance oversight noted.,0.86,0,2025-08-01 00:00:00
105,9,64,66.15,60.22,2,Fails to verify documentation thoroughly.,0.98,0,2025-09-01 00:00:00
106,9,55,70.59,67.11,3,Frequent audit exceptions flagged.,0.89,0,2025-10-01 00:00:00
107,9,71,76.69,66.7,3,Minor KYC compliance oversight noted.,0.91,0,2025-11-01 00:00:00
108,9,60,69.42,70.35,5,Fails to verify documentation thoroughly.,0.96,0,2025-12-01 00:00:00
109,10,70,78.28,55.49,6,Fails to verify documentation thoroughly.,0.94,0,2025-01-01 00:00:00
110,10,11,66.11,80.47,6,Minor KYC compliance oversight noted.,0.89,0,2025-02-01 00:00:00
111,10,98,76.8,69.5,2,Fails to verify documentation thoroughly.,0.96,0,2025-03-01 00:00:00
112,10,46,80.71,61.77,5,Fails to verify documentation thoroughly.,0.94,0,2025-04-01 00:00:00
113,10,60,64.59,73.52,4,Frequent audit exceptions flagged.,0.91,0,2025-05-01 00:00:00
114,10,75,82.88,84.65,5,Fails to verify documentation thoroughly.,0.9,0,2025-06-01 00:00:00
115,10,36,79.62,60.74,3,Minor KYC compliance oversight noted.,0.93,0,2025-07-01 00:00:00
116,10,76,66.54,58.24,6,Frequent audit exceptions flagged.,0.87,0,2025-08-01 00:00:00
117,10,47,80.25,52.81,3,Fails to verify documentation thoroughly.,0.93,0,2025-09-01 00:00:00
118,10,48,77.7,69.8,7,Minor KYC compliance oversight noted.,0.93,0,2025-10-01 00:00:00
119,10,58,63.66,79.44,4,Fails to verify documentation thoroughly.,0.9,0,2025-11-01 00:00:00
120,10,67,66.65,71.8,9,Fails to verify documentation thoroughly.,0.96,0,2025-12-01 00:00:00
121,11,73,91.68,83.94,0,Zero compliance audit findings.,0.93,1,2025-01-01 00:00:00
122,11,108,92.74,82.72,4,Demonstrates exemplary regulatory compliance.,0.96,1,2025-02-01 00:00:00
123,11,74,81.68,86.51,1,Zero compliance audit findings.,0.85,1,2025-03-01 00:00:00
124,11,97,93.75,81.17,3,Zero compliance audit findings.,1.0,1,2025-04-01 00:00:00
125,11,96,91.9,84.98,2,Demonstrates exemplary regulatory compliance.,0.98,1,2025-05-01 00:00:00
126,11,123,92.79,79.38,6,Demonstrates exemplary regulatory compliance.,0.94,1,2025-06-01 00:00:00
127,11,74,84.07,88.56,1,Zero compliance audit findings.,0.97,1,2025-07-01 00:00:00
128,11,70,83.27,69.46,4,Demonstrates exemplary regulatory compliance.,0.96,1,2025-08-01 00:00:00
129,11,98,92.43,81.5,3,Demonstrates exemplary regulatory compliance.,0.93,1,2025-09-01 00:00:00
130,11,144,90.22,85.02,1,Demonstrates exemplary regulatory compliance.,0.98,1,2025-10-01 00:00:00
131,11,87,85.2,79.11,2,Strictly adheres to KYC protocols.,0.89,1,2025-11-01 00:00:00
132,11,115,82.72,88.57,2,Demonstrates exemplary regulatory compliance.,0.87,1,2025-12-01 00:00:00
133,12,60,92.5,77.38,4,Minor KYC compliance oversight noted.,0.91,0,2025-01-01 00:00:00
134,12,95,78.34,74.59,3,Fails to verify documentation thoroughly.,0.91,0,2025-02-01 00:00:00
135,12,54,75.77,85.95,3,Frequent audit exceptions flagged.,0.98,0,2025-03-01 00:00:00
136,12,44,84.32,93.27,11,Frequent audit exceptions flagged.,0.96,0,2025-04-01 00:00:00
137,12,51,83.47,79.69,5,Frequent audit exceptions flagged.,0.9,0,2025-05-01 00:00:00
138,12,38,77.03,80.07,4,Frequent audit exceptions flagged.,0.91,0,2025-06-01 00:00:00
139,12,59,81.72,53.11,6,Minor KYC compliance oversight noted.,0.93,0,2025-07-01 00:00:00
140,12,60,87.04,67.05,5,Frequent audit exceptions flagged.,0.97,0,2025-08-01 00:00:00
141,12,62,83.52,57.73,4,Frequent audit exceptions flagged.,0.97,0,2025-09-01 00:00:00
142,12,14,72.32,66.69,7,Fails to verify documentation thoroughly.,0.88,0,2025-10-01 00:00:00
143,12,68,80.54,77.87,4,Minor KYC compliance oversight noted.,0.89,0,2025-11-01 00:00:00
144,12,33,75.31,86.47,6,Fails to verify documentation thoroughly.,0.96,0,2025-12-01 00:00:00
145,13,79,67.24,82.44,10,Frequent audit exceptions flagged.,0.9,0,2025-01-01 00:00:00
146,13,54,79.44,57.69,4,Fails to verify documentation thoroughly.,0.99,0,2025-02-01 00:00:00
147,13,51,76.9,61.19,4,Frequent audit exceptions flagged.,0.87,0,2025-03-01 00:00:00
148,13,45,71.18,92.72,4,Frequent audit exceptions flagged.,0.98,0,2025-04-01 00:00:00
149,13,37,69.23,67.52,6,Fails to verify documentation thoroughly.,0.99,0,2025-05-01 00:00:00
150,13,53,76.26,65.31,2,Minor KYC compliance oversight noted.,0.89,0,2025-06-01 00:00:00
151,13,82,88.58,74.41,3,Frequent audit exceptions flagged.,0.95,1,2025-07-01 00:00:00
152,13,42,82.47,68.6,8,Frequent audit exceptions flagged.,0.88,0,2025-08-01 00:00:00
153,13,41,74.61,81.17,4,Frequent audit exceptions flagged.,0.93,0,2025-09-01 00:00:00
154,13,63,72.61,64.8,7,Fails to verify documentation thoroughly.,0.94,0,2025-10-01 00:00:00
155,13,49,76.27,69.2,3,Frequent audit exceptions flagged.,0.86,0,2025-11-01 00:00:00
156,13,67,64.32,71.99,5,Frequent audit exceptions flagged.,0.88,0,2025-12-01 00:00:00
157,14,102,92.1,100.0,1,Consistently exceeds monthly volume targets.,0.96,2,2025-01-01 00:00:00
158,14,138,94.57,97.2,0,Consistently exceeds monthly volume targets.,0.87,2,2025-02-01 00:00:00
159,14,144,99.69,99.52,1,Completes workplans well ahead of schedule.,0.87,2,2025-03-01 00:00:00
160,14,121,96.65,91.8,1,Completes workplans well ahead of schedule.,0.98,2,2025-04-01 00:00:00
161,14,131,95.94,98.69,0,High output speed on ledger entries.,0.96,2,2025-05-01 00:00:00
162,14,139,98.66,85.06,1,High output speed on ledger entries.,0.95,2,2025-06-01 00:00:00
163,14,109,96.94,93.65,0,Consistently exceeds monthly volume targets.,0.88,2,2025-07-01 00:00:00
164,14,141,98.9,92.13,1,Completes workplans well ahead of schedule.,0.99,2,2025-08-01 00:00:00
165,14,129,96.19,88.87,0,Consistently exceeds monthly volume targets.,0.98,2,2025-09-01 00:00:00
166,14,107,99.08,96.6,1,Consistently exceeds monthly volume targets.,0.91,2,2025-10-01 00:00:00
167,14,142,98.12,98.89,1,High output speed on ledger entries.,0.96,2,2025-11-01 00:00:00
168,14,142,99.25,92.79,0,High output speed on ledger entries.,0.85,2,2025-12-01 00:00:00
169,15,92,88.22,78.19,1,Demonstrates exemplary regulatory compliance.,0.99,1,2025-01-01 00:00:00
170,15,103,83.34,81.67,1,Zero compliance audit findings.,1.0,1,2025-02-01 00:00:00
171,15,117,88.63,86.17,4,Demonstrates exemplary regulatory compliance.,0.98,1,2025-03-01 00:00:00
172,15,73,83.32,87.29,2,Strictly adheres to KYC protocols.,0.92,1,2025-04-01 00:00:00
173,15,143,92.83,81.85,4,Strictly adheres to KYC protocols.,0.9,1,2025-05-01 00:00:00
174,15,116,87.74,84.41,0,Demonstrates exemplary regulatory compliance.,0.89,1,2025-06-01 00:00:00
175,15,79,88.89,86.14,3,Strictly adheres to KYC protocols.,0.97,1,2025-07-01 00:00:00
176,15,89,89.33,90.04,5,Demonstrates exemplary regulatory compliance.,0.88,1,2025-08-01 00:00:00
177,15,91,92.71,86.99,4,Demonstrates exemplary regulatory compliance.,0.98,1,2025-09-01 00:00:00
178,15,66,88.07,75.33,3,Zero compliance audit findings.,0.86,1,2025-10-01 00:00:00
179,15,127,85.12,73.74,1,Demonstrates exemplary regulatory compliance.,0.92,0,2025-11-01 00:00:00
180,15,140,92.54,78.18,3,Strictly adheres to KYC protocols.,0.89,1,2025-12-01 00:00:00
181,16,70,67.9,52.67,8,Fails to verify documentation thoroughly.,0.9,0,2025-01-01 00:00:00
182,16,53,77.97,69.04,3,Frequent audit exceptions flagged.,0.89,0,2025-02-01 00:00:00
183,16,42,64.15,67.02,6,Fails to verify documentation thoroughly.,0.86,0,2025-03-01 00:00:00
184,16,51,64.89,66.66,4,Minor KYC compliance oversight noted.,0.87,0,2025-04-01 00:00:00
185,16,57,64.85,72.4,5,Frequent audit exceptions flagged.,0.98,0,2025-05-01 00:00:00
186,16,55,79.8,68.49,6,Frequent audit exceptions flagged.,0.95,0,2025-06-01 00:00:00
187,16,38,81.23,60.99,4,Frequent audit exceptions flagged.,0.89,0,2025-07-01 00:00:00
188,16,61,91.02,56.12,4,Frequent audit exceptions flagged.,0.99,0,2025-08-01 00:00:00
189,16,38,84.57,84.23,6,Fails to verify documentation thoroughly.,0.96,0,2025-09-01 00:00:00
190,16,43,87.47,84.78,4,Frequent audit exceptions flagged.,0.96,0,2025-10-01 00:00:00
191,16,43,64.64,73.63,2,Fails to verify documentation thoroughly.,0.97,0,2025-11-01 00:00:00
192,16,30,68.9,61.51,2,Minor KYC compliance oversight noted.,0.95,0,2025-12-01 00:00:00
193,17,111,96.58,87.78,2,Completes workplans well ahead of schedule.,0.86,2,2025-01-01 00:00:00
194,17,173,92.92,96.78,1,High output speed on ledger entries.,0.9,2,2025-02-01 00:00:00
195,17,115,96.24,91.28,1,Completes workplans well ahead of schedule.,0.99,2,2025-03-01 00:00:00
196,17,136,97.57,90.34,1,Consistently exceeds monthly volume targets.,0.87,2,2025-04-01 00:00:00
197,17,113,99.29,89.14,2,High output speed on ledger entries.,0.92,2,2025-05-01 00:00:00
198,17,137,95.21,98.85,1,Completes workplans well ahead of schedule.,0.94,2,2025-06-01 00:00:00
199,17,145,96.48,92.76,0,Consistently exceeds monthly volume targets.,0.92,2,2025-07-01 00:00:00
200,17,117,97.46,89.72,0,Consistently exceeds monthly volume targets.,0.93,2,2025-08-01 00:00:00
201,17,178,91.41,96.03,0,High output speed on ledger entries.,0.93,2,2025-09-01 00:00:00
202,17,135,93.17,97.35,2,Completes workplans well ahead of schedule.,0.96,2,2025-10-01 00:00:00
203,17,146,96.2,93.6,0,High output speed on ledger entries.,0.85,2,2025-11-01 00:00:00
204,17,130,97.5,91.97,0,Consistently exceeds monthly volume targets.,0.86,2,2025-12-01 00:00:00
205,18,10,68.74,81.13,9,Fails to verify documentation thoroughly.,0.93,0,2025-01-01 00:00:00
206,18,35,76.45,64.28,1,Minor KYC compliance oversight noted.,0.86,0,2025-02-01 00:00:00
207,18,30,79.55,68.54,4,Fails to verify documentation thoroughly.,0.88,1,2025-03-01 00:00:00
208,18,79,80.2,83.31,3,Minor KYC compliance oversight noted.,1.0,0,2025-04-01 00:00:00
209,18,42,77.04,64.63,3,Frequent audit exceptions flagged.,0.91,0,2025-05-01 00:00:00
210,18,58,73.88,64.12,8,Fails to verify documentation thoroughly.,0.99,0,2025-06-01 00:00:00
211,18,43,75.1,77.89,6,Fails to verify documentation thoroughly.,0.95,0,2025-07-01 00:00:00
212,18,62,57.86,62.54,2,Frequent audit exceptions flagged.,0.87,0,2025-08-01 00:00:00
213,18,78,69.04,67.69,5,Fails to verify documentation thoroughly.,0.91,2,2025-09-01 00:00:00
214,18,46,69.96,44.97,9,Minor KYC compliance oversight noted.,0.88,0,2025-10-01 00:00:00
215,18,64,75.38,77.21,6,Minor KYC compliance oversight noted.,1.0,0,2025-11-01 00:00:00
216,18,57,71.26,88.13,1,Fails to verify documentation thoroughly.,0.93,0,2025-12-01 00:00:00
217,19,74,84.39,92.09,2,Demonstrates exemplary regulatory compliance.,0.88,1,2025-01-01 00:00:00
218,19,109,90.41,91.3,1,Zero compliance audit findings.,0.89,1,2025-02-01 00:00:00
219,19,100,92.48,77.7,2,Demonstrates exemplary regulatory compliance.,0.85,1,2025-03-01 00:00:00
220,19,119,83.83,87.49,1,Demonstrates exemplary regulatory compliance.,0.96,1,2025-04-01 00:00:00
221,19,106,94.55,95.59,3,Strictly adheres to KYC protocols.,0.86,1,2025-05-01 00:00:00
222,19,69,87.05,78.84,4,Demonstrates exemplary regulatory compliance.,0.95,2,2025-06-01 00:00:00
223,19,90,87.0,81.06,7,Strictly adheres to KYC protocols.,0.86,1,2025-07-01 00:00:00
224,19,109,95.23,86.44,3,Zero compliance audit findings.,0.88,1,2025-08-01 00:00:00
225,19,101,89.8,78.44,3,Strictly adheres to KYC protocols.,1.0,1,2025-09-01 00:00:00
226,19,147,95.66,84.69,4,Strictly adheres to KYC protocols.,0.96,1,2025-10-01 00:00:00
227,19,111,85.2,86.35,1,Zero compliance audit findings.,0.97,1,2025-11-01 00:00:00
228,19,86,83.83,92.02,3,Zero compliance audit findings.,0.98,1,2025-12-01 00:00:00
229,20,39,84.38,61.9,1,Frequent audit exceptions flagged.,0.91,0,2025-01-01 00:00:00
230,20,63,80.54,66.79,5,Fails to verify documentation thoroughly.,0.98,2,2025-02-01 00:00:00
231,20,24,88.09,64.0,5,Minor KYC compliance oversight noted.,0.91,0,2025-03-01 00:00:00
232,20,106,84.84,62.48,5,Fails to verify documentation thoroughly.,0.99,1,2025-04-01 00:00:00
233,20,77,83.17,73.93,4,Frequent audit exceptions flagged.,0.93,0,2025-05-01 00:00:00
234,20,68,71.46,77.48,4,Frequent audit exceptions flagged.,0.87,0,2025-06-01 00:00:00
235,20,77,75.42,66.78,8,Fails to verify documentation thoroughly.,0.93,0,2025-07-01 00:00:00
236,20,16,73.87,79.99,4,Minor KYC compliance oversight noted.,0.9,0,2025-08-01 00:00:00
237,20,51,76.99,50.32,6,Frequent audit exceptions flagged.,0.92,0,2025-09-01 00:00:00
238,20,53,85.73,56.89,6,Minor KYC compliance oversight noted.,1.0,0,2025-10-01 00:00:00
239,20,35,69.01,71.02,4,Frequent audit exceptions flagged.,0.91,0,2025-11-01 00:00:00
240,20,50,69.75,71.55,5,Fails to verify documentation thoroughly.,0.95,0,2025-12-01 00:00:00
241,21,99,77.09,89.19,2,Zero compliance audit findings.,0.86,1,2025-01-01 00:00:00
242,21,96,88.39,87.92,0,Demonstrates exemplary regulatory compliance.,0.86,1,2025-02-01 00:00:00
243,21,68,80.97,79.3,4,Zero compliance audit findings.,0.94,1,2025-03-01 00:00:00
244,21,101,98.87,83.56,1,Strictly adheres to KYC protocols.,0.96,1,2025-04-01 00:00:00
245,21,89,86.08,79.21,3,Demonstrates exemplary regulatory compliance.,0.88,1,2025-05-01 00:00:00
246,21,131,88.69,85.66,0,Strictly adheres to KYC protocols.,0.9,1,2025-06-01 00:00:00
247,21,130,83.18,62.55,4,Strictly adheres to KYC protocols.,0.88,1,2025-07-01 00:00:00
248,21,96,83.35,78.02,3,Demonstrates exemplary regulatory compliance.,0.99,1,2025-08-01 00:00:00
249,21,118,85.17,87.22,1,Demonstrates exemplary regulatory compliance.,0.88,1,2025-09-01 00:00:00
250,21,96,84.54,72.88,4,Strictly adheres to KYC protocols.,0.97,1,2025-10-01 00:00:00
251,21,115,91.97,82.46,2,Zero compliance audit findings.,0.95,1,2025-11-01 00:00:00
252,21,83,90.27,92.17,3,Zero compliance audit findings.,0.93,1,2025-12-01 00:00:00
253,22,136,100.0,98.32,1,High output speed on ledger entries.,0.97,2,2025-01-01 00:00:00
254,22,118,98.13,95.94,1,Completes workplans well ahead of schedule.,0.98,2,2025-02-01 00:00:00
255,22,140,95.16,92.39,0,Consistently exceeds monthly volume targets.,0.91,2,2025-03-01 00:00:00
256,22,111,97.9,93.2,1,Completes workplans well ahead of schedule.,0.96,2,2025-04-01 00:00:00
257,22,113,96.48,94.96,2,Consistently exceeds monthly volume targets.,0.99,2,2025-05-01 00:00:00
258,22,154,97.07,93.25,0,Completes workplans well ahead of schedule.,0.89,2,2025-06-01 00:00:00
259,22,118,96.08,92.93,1,Consistently exceeds monthly volume targets.,0.91,2,2025-07-01 00:00:00
260,22,141,97.49,95.08,1,Consistently exceeds monthly volume targets.,0.95,2,2025-08-01 00:00:00
261,22,133,95.24,86.18,1,Completes workplans well ahead of schedule.,0.96,2,2025-09-01 00:00:00
262,22,154,90.4,92.01,0,High output speed on ledger entries.,0.95,2,2025-10-01 00:00:00
263,22,123,98.1,96.19,0,High output speed on ledger entries.,0.96,2,2025-11-01 00:00:00
264,22,94,94.97,91.35,2,High output speed on ledger entries.,0.96,2,2025-12-01 00:00:00
265,23,71,87.54,91.58,2,Zero compliance audit findings.,0.98,1,2025-01-01 00:00:00
266,23,99,93.34,79.75,2,Demonstrates exemplary regulatory compliance.,0.93,1,2025-02-01 00:00:00
267,23,115,85.71,88.44,3,Strictly adheres to KYC protocols.,0.95,1,2025-03-01 00:00:00
268,23,108,82.07,88.07,4,Strictly adheres to KYC protocols.,0.98,1,2025-04-01 00:00:00
269,23,91,87.4,76.18,4,Strictly adheres to KYC protocols.,0.85,0,2025-05-01 00:00:00
270,23,103,83.76,81.45,5,Demonstrates exemplary regulatory compliance.,0.86,1,2025-06-01 00:00:00
271,23,102,92.0,79.31,2,Demonstrates exemplary regulatory compliance.,0.94,1,2025-07-01 00:00:00
272,23,88,96.27,81.44,0,Zero compliance audit findings.,0.85,1,2025-08-01 00:00:00
273,23,114,79.52,80.93,2,Demonstrates exemplary regulatory compliance.,0.85,1,2025-09-01 00:00:00
